DANE,Department,Deparment_DANE,Year,Month,Deparment_Month,Year_month,Period,DANE_period,DANE_Department_Month,DANE_year,DANE_Year_Month,MPI,altitude,forest,deforest,fire,HFP,mining,Total_pob,coca,temperature,rainfall,vector,cases,sir,excess
68432,68,6868432,2021,10,6810,2021-10,178,68432010,684326810,684322021,68432-2021-10,19.3,1600,2.670451542,0,0.445075257,10.13687676,0.555555556,21912,0,24.4262329,8.498317,0,0,0,0
68432,68,6868432,2021,11,6811,2021-11,179,68432011,684326811,684322021,68432-2021-11,19.3,1600,2.670451542,0,0.445075257,10.13687676,0.555555556,21912,0,24.1774536,7.155437,0,0,0,0
68432,68,6868432,2021,12,6812,2021-12,180,68432012,684326812,684322021,68432-2021-12,19.3,1600,2.670451542,0,0.445075257,10.13687676,0.555555556,21912,0,24.5025879,6.14906,0,0,0,0
5360,5,55360,2021,10,510,2021-10,178,5360010,5360510,53602021,5360-2021-10,10.9,1600,1.143818919,0,1.143818919,20.29718882,2.631578947,294551,0,24.4262329,8.498317,4.444444444,1,0.395246782,0
5360,5,55360,2021,1,51,2021-1,169,5360001,536051,53602021,5360-2021-1,10.9,1600,1.143818919,0,1.143818919,20.29718882,2.631578947,294551,0,24.0111023,6.743598,4.444444444,2,0.810969986,0
15322,15,1515322,2021,1,151,2021-1,169,15322001,15322151,153222021,15322-2021-1,19.4,1400,0.671241533,0,0.671241533,10.21091728,0.403225806,10981,0,15.271875,0.647931,0,0,0,0
15322,15,1515322,2021,2,152,2021-2,170,15322002,15322152,153222021,15322-2021-2,19.4,1400,0.671241533,0,0.671241533,10.21091728,0.403225806,10981,0,15.8336426,4.420038,0,0,0,0
15322,15,1515322,2021,3,153,2021-3,171,15322003,15322153,153222021,15322-2021-3,19.4,1400,0.671241533,0,0.671241533,10.21091728,0.403225806,10981,0,15.011377,5.10005,0,0,0,0
15322,15,1515322,2021,4,154,2021-4,172,15322004,15322154,153222021,15322-2021-4,19.4,1400,0.671241533,0,0.671241533,10.21091728,0.403225806,10981,0,15.3666016,4.947178,0,0,0,0
15322,15,1515322,2021,5,155,2021-5,173,15322005,15322155,153222021,15322-2021-5,19.4,1400,0.671241533,0,0.671241533,10.21091728,0.403225806,10981,0,15.1539551,8.139753,0,0,0,0
